######################### Start train #########################
[Learner] Update_iteration: 32800  	 | actor_loss : 1388.247 	 | critic_loss : 124.528
[Learner] Update_iteration: 33000  	 | actor_loss : 1395.558 	 | critic_loss : 57.992
[Learner] Update_iteration: 33200  	 | actor_loss : 1404.298 	 | critic_loss : 32.997
[Learner] Update_iteration: 33400  	 | actor_loss : 1411.999 	 | critic_loss : 22.131
[Learner] Update_iteration: 33600  	 | actor_loss : 1419.359 	 | critic_loss : 21.854
[Learner] Update_iteration: 33800  	 | actor_loss : 1427.952 	 | critic_loss : 19.724
[Learner] Update_iteration: 34000  	 | actor_loss : 1435.535 	 | critic_loss : 21.597
[Learner] Update_iteration: 34200  	 | actor_loss : 1444.113 	 | critic_loss : 20.684
[Learner] Update_iteration: 34400  	 | actor_loss : 1451.684 	 | critic_loss : 20.718
[Learner] Update_iteration: 34600  	 | actor_loss : 1459.129 	 | critic_loss : 20.687
[Learner] Update_iteration: 34800  	 | actor_loss : 1474.063 	 | critic_loss : 249.300
[Learner] Update_iteration: 35000  	 | actor_loss : 1480.871 	 | critic_loss : 148.433
[Learner] Update_iteration: 35200  	 | actor_loss : 1486.040 	 | critic_loss : 69.240
[Learner] Update_iteration: 35400  	 | actor_loss : 1493.967 	 | critic_loss : 34.584
[Learner] Update_iteration: 35600  	 | actor_loss : 1501.689 	 | critic_loss : 25.269
[Learner] Update_iteration: 35800  	 | actor_loss : 1509.020 	 | critic_loss : 22.124
[Learner] Update_iteration: 36000  	 | actor_loss : 1517.361 	 | critic_loss : 22.505
[Learner] Update_iteration: 36200  	 | actor_loss : 1525.361 	 | critic_loss : 22.053
[Learner] Update_iteration: 36400  	 | actor_loss : 1540.999 	 | critic_loss : 413.979
[Learner] Update_iteration: 36600  	 | actor_loss : 1549.452 	 | critic_loss : 260.468
[Learner] Update_iteration: 36800  	 | actor_loss : 1552.959 	 | critic_loss : 111.451
[Learner] Update_iteration: 37000  	 | actor_loss : 1560.661 	 | critic_loss : 53.442
[Learner] Update_iteration: 37200  	 | actor_loss : 1567.125 	 | critic_loss : 35.167
[Learner] Update_iteration: 37400  	 | actor_loss : 1574.383 	 | critic_loss : 27.671
[Learner] Update_iteration: 37600  	 | actor_loss : 1582.174 	 | critic_loss : 25.103
[Learner] Update_iteration: 37800  	 | actor_loss : 1590.078 	 | critic_loss : 23.763
[Learner] Update_iteration: 38000  	 | actor_loss : 1598.311 	 | critic_loss : 23.276
